STYLE,DESC,CATEGORY,LOT,QOH_CASES,UPC_SKU_2,PRICE_CS,PRICE_UNIT,SIZE
MD32-1605,24PK 50MM Ball Ornaments,Packaged Sets,C24,0,840364216057,10.00,1.00,
MD32-1606,24PK 60MM Ball Ornaments,Packaged Sets,C24,24,840364216064,10.00,1.00,
MD32-1607,25PK 60MM Ball Ornaments,Packaged Sets,C12,0,840364216071,10.00,1.00,
MD32-1608,26PK 60MM Ball Ornaments,Packaged Sets,C12,108,840364216088,10.00,1.00,
MD32-1609,"2PK Packaged 9"""" Trees, Bottle",Packaged Sets,C24,24,840364216095,10.00,1.00,
MD32-1610,37PK 70MM/50MM Ball Ornaments,Packaged Sets,C12,12,840364216101,10.00,1.00,
MD32-1610-D,37PK 70MM/50MM Ball Ornaments,Packaged Sets,C12,0,840364216101,10.00,1.00,
MD32-1611,3PK 150MM Hand-Painted Ball Or,Packaged Sets,C8,40,840364216118,10.00,1.00,
MD32-1612,3PK 150MM Packaged Bells,Packaged Sets,C24,240,840364216125,10.00,1.00,
MD32-1612-D,3PK 150MM Packaged Bells,Packaged Sets,C24,0,840364216125,10.00,1.00,
MD32-1613,3PK Packaged 2-Tone Glitter Po,Packaged Sets,C24,48,840364216132,10.00,1.00,
MD32-1614,3PK Packaged Laced Glitter Poi,Packaged Sets,C24,120,840364216149,10.00,1.00,
MD32-1615,40PK 60MM Ball Ornaments,Packaged Sets,C8,16,840364216156,10.00,1.00,
MD32-1616,4PK 120MM Ball Ornaments,Packaged Sets,C12,0,840364216163,10.00,1.00,
MD32-1617,4PK 70MM Ball Ornaments in PDQ,Packaged Sets,C72,0,840364216170,10.00,1.00,
MD32-1618,50PK 60MM Ball Ornaments,Packaged Sets,C8,64,840364216187,10.00,1.00,
MD32-1619,50PK 60MM/50MM Ball Ornaments,Packaged Sets,C8,0,840364216194,10.00,1.00,
MD32-1619-D,50PK 60MM/50MM Ball Ornaments,Packaged Sets,C8,0,840364216194,10.00,1.00,
MD32-1621,5PK 60MM Ball Ornaments in PDQ,Packaged Sets,C72,0,840364216217,10.00,1.00,
MD32-1623,7PK 50MM Ball Ornaments in PDQ,Packaged Sets,C72,0,840364216231,10.00,1.00,
MD32-1625,9PK PET Navy Gold Assortment,Packaged Sets,C12,0,840364216255,10.00,1.00,
MD33-1626,"15"""" Shatterproof Ball Wreath",Shatterproof Wreaths,C6,0,840364216262,10.00,1.00,
MD34-1627,6FT Deluxe Shatterproof Garlan,Shatterproof Garland,C12,0,840364216279,10.00,1.00,
MD35-1628,1PK Clip On Poinsettia,Clip-On Flowers,C72,72,840364216286,10.00,1.00,
MD35-1629,1PK Glitter Clip On Poinsettia,Clip-On Flowers,C72,72,840364216293,10.00,1.00,
MD35-1630,1PK Velvet Clip On Poinsettia,Clip-On Flowers,C72,0,840364216309,10.00,1.00,
MD35-1631,2PK Glitter Poinsettia with Ch,Inactive,C72,0,840364216316,10.00,1.00,
MD36-1632,Foam Ball Pick with Spray In P,Picks,C72,0,840364216323,10.00,1.00,
MD36-1633,Glitter Poinsettia Pick with B,Picks,C72,0,840364216330,10.00,1.00,
MD36-1634,Jumbo Foam Ball Pick,Picks,C72,288,840364216347,10.00,1.00,
MD36-1635,Jumbo Light Bulb Pick,Inactive,C24,0,840364216354,10.00,1.00,
MD36-1636,Poinsettia Pick with Fern Leaf,Picks,C72,72,840364216361,10.00,1.00,
MD36-1637,Spiky Fern Pick In PDQ,Picks,C72,72,840364216378,10.00,1.00,
MD37-1638,12-Inch Velvet Poinsettia with,Long-Stem Flowers,C72,0,840364216385,10.00,1.00,
MD37-1639,14-Inch Deluxe Velvet Poinsett,Long-Stem Flowers,C72,0,840364216392,10.00,1.00,
